Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
,,,,,,
,Hallo,,,,hello,درود
,Guten Tag,,,,good day,روز خوش
,Guten Morgen,,,,good morning,بامداد خوش
,Guten Abend,,,,good evening,پسین خوش
,Gute Nacht,,,,good night,شب خوش
,Tschüss,,,,bye,بدرود
,Auf Wiedersehen,,,,goodbye,بدرود
die,Frau,en,Frauen,,woman,زن
der,Herr,en,Herren,,mister,آقا
der,Student,en,Studenten,,student,دانشجو
die,Studentin,nen,Studentinnen,,student,دانشجو
der,Praktikant,en,Praktikanten,,intern,کارآموز
die,Praktikantin,nen,Praktikantinnen,,intern,کارآموز
der,Sekretär,e,Sekretäre,,secretary,منشی
die,Sekretärin,nen,Sekretärinnen,,secretary,منشی
der,Partner,,,,partner,شریک
die,Partnerin,nen,Partnerinnen,,partner,شریک
die,Gruppe,n,Gruppen,,group,گروه
der,Kurs,e,Kurse,,course,دوره
der,Teilnehmer,,,,participant,شرکت‌کننده
die,Teilnehmerin,nen,Teilnehmerinnen,,participant,شرکت‌کننده
das,Team,s,Teams,,team,تیم
der,Name,n,Namen,,name,نام
der,Vorname,n,Vornamen,,first name,نام کوچک
der,Nachname,n,Nachnamen,,last name,نام خانوادگی
der,Familienname,n,Familiennamen,,surname,نام خانوادگی
,wohnen,,,v,reside,اقامت داشتن
die,Adresse,n,Adressen,,address,نشانی
die,Straße,n,Straßen,,street,خیابان
die,Nummer,n,Nummern,,number,شماره
die,Hausnummer,n,Hausnummern,,house number,شماره خانه
der,Wohnort,e,Wohnorte,,place of residence,محل سکونت
die,Postleitzahl,en,Postleitzahlen,,postal code,کد پستی
die,Stadt,Städte,,,city,شهر
die,Vorwahl,en,Vorwahlen,,phone prefix,پیش شماره تلفن
die,Telefonnummer,n,Telefonnummern,,telephone number,شماره تلفن
die,Handynummer,n,Handynummern,,mobile number,شماره موبایل
die,Mobilnummer,n,Mobilnummern,,mobile number,شماره موبایل
die,Mail,,,,mail,ایمیل
die,Nationalität,en,Nationalitäten,,nationality,ملیت
der,Beruf,e,Berufe,,profession,حرفه
die,Antwort,en,Antworten,,answer,پاسخ
,antworten,,,v,answer,پاسخ دادن
die,Frage,n,Fragen,,ask,پرسش
,fragen,,,v,questions,پرسش کردن
die,Sprache,n,Sprachen,,language,زبان
das,Alphabet,e,Alphabete,,alphabet,الفبا
der,Buchstabe,n,Buchstaben,,letter,واج
,buchstabieren,,,v,spell,واج گویی
